external_id,name,date_of_birth,outcome_datetime,age_outcome_days,animal_type,outcome_type,outcome_subtype,sex,is_intact,breed,color
A713103,,2015-09-02,2015-10-02 15:36:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,White/Blue Tabby
A713107,Talulah,2013-10-02,2015-10-02 15:58:00,730.0,Dog,Stray,Normal,Female,False,Labrador Retriever Mix,White
A616585,Lobo,2010-10-03,2015-10-02 16:05:00,1825.0,Dog,Stray,Normal,Male,False,Labrador Retriever Mix,Yellow
A713108,,2014-10-02,2015-10-02 16:16:00,365.0,Other,Wildlife,Normal,Unknown,,Bat Mix,Brown
A713109,,2013-10-02,2015-10-02 16:30:00,730.0,Other,Wildlife,Normal,Unknown,,Bat Mix,Brown
A713120,,2015-07-04,2015-10-02 18:03:00,90.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,White/Black
A713121,*Clyde,2014-10-02,2015-10-02 18:09:00,365.0,Dog,Stray,Normal,Male,True,Basset Hound Mix,Black/Tan
A713124,*Bonnie,2014-10-02,2015-10-02 18:09:00,365.0,Dog,Stray,Normal,Female,False,Australian Cattle Dog,White/Tan
A713122,*Donny,2015-09-02,2015-10-02 18:13:00,30.0,Dog,Stray,Normal,Male,True,Beagle Mix,White/Chocolate
A713123,*Marie,2015-09-02,2015-10-02 18:13:00,30.0,Dog,Stray,Normal,Female,True,Beagle Mix,Brown/White
A713125,*Ophelia,2014-10-02,2015-10-02 18:30:00,365.0,Dog,Stray,Normal,Female,True,Chihuahua Longhair Mix,Tricolor
A713126,Mr. Bond,2015-07-04,2015-10-02 18:30:00,90.0,Dog,Stray,Normal,Male,True,Collie Smooth,Tan/Black
A713127,Coco,2012-10-02,2015-10-02 18:47:00,1095.0,Dog,Stray,Normal,Female,False,Boxer Mix,White/Brown Brindle
A708009,Noche,2014-10-03,2015-10-03 08:05:00,365.0,Dog,Stray,Normal,Male,False,Labrador Retriever Mix,Black
A700084,*Payton,2014-10-03,2015-10-03 09:29:00,365.0,Dog,Stray,Normal,Male,False,Pit Bull Mix,Yellow Brindle/White
A713135,*Mars,2009-10-04,2015-10-03 09:42:00,2190.0,Cat,Owner Surrender,Normal,Male,False,Domestic Medium Hair Mix,Orange Tabby/White
A713136,*Henrietta,2010-10-04,2015-10-03 09:42:00,1825.0,Cat,Owner Surrender,Normal,Female,False,Siamese Mix,Tortie Point
A713141,*Jay,2014-10-03,2015-10-03 11:00:00,365.0,Dog,Stray,Normal,Male,True,Labrador Retriever Mix,Black/White
A713142,Koda,2015-06-05,2015-10-03 11:04:00,120.0,Dog,Owner Surrender,Normal,Female,True,Labrador Retriever Mix,Brown
A704148,Charlie,2013-10-03,2015-10-03 11:18:00,730.0,Dog,Owner Surrender,Normal,Male,False,English Springer Spaniel Mix,White/Black
A713144,Water,2015-09-03,2015-10-03 11:22:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A713143,Jack,2015-09-03,2015-10-03 11:22:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A713145,,2015-06-05,2015-10-03 11:24:00,120.0,Dog,Stray,Normal,Male,True,Pit Bull Mix,Brown Brindle/White
A713146,,2015-03-07,2015-10-03 11:24:00,210.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,Brown Brindle
A631494,Taco Bell,2011-10-04,2015-10-03 11:40:00,1460.0,Dog,Owner Surrender,Injured,Male,False,Chihuahua Shorthair Mix,Brown
A713149,*Mirinda,2014-10-03,2015-10-03 11:41:00,365.0,Dog,Stray,Normal,Female,True,Boxer Mix,Brown Brindle/White
